Code,Description,Category,Source,Notes;
P0001,Fuel Volume Regulator Control Circuit/Open,Powertrain,OBD-II Standard,;
P0002,Fuel Volume Regulator Control Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0003,Fuel Volu me Regulator Control Circuit Low,Powertrain,OBD-II Standard,;
P0004,Fuel Volume Regulator Control Circuit High,Powertrain,OBD-II Standard,;
P0005,Fuel Shutoff Valve C ontrol Circuit/Open,Powertrain,OBD-II Standard,;
P0006,Fuel Shutoff Valve C ontrol Circuit Low,Powertrain,OBD-II Standard,;
P0007,Fuel Shutoff Valve C ontrol Circuit H igh,Powertrain,OBD-II Standard,;
P0008,Engine Posit ion System Performance (Bank1),Powertrain,OBD-II Standard,;
P0009,Engine Position System Performance (Bank2),Powertrain,OBD-II Standard,;
P0010,A Camshaft Position Actuator Circuit (Bank1),Powertrain,OBD-II Standard,;
P0011,A Camshaft Position -Timing Over -Advanced or System,Powertrain,OBD-II Standard,;
P0012,A Camshaft Position -Timin g O ver -Retarded (Bank 1),Powertrain,OBD-II Standard,;
P0013,B Camshaft Position -Actuator Circuit (Bank1),Powertrain,OBD-II Standard,;
P0014,B Camshaft Position -Timing Over -Advanced or System,Powertrain,OBD-II Standard,;
P0015,B Camshaft Position -Timing O ver -Retarded (Bank 1),Powertrain,OBD-II Standard,;
P0016,Crankshaft Position Camshaft Position Correlation (Bank 1,Powertrain,OBD-II Standard,;
P0017,Crankshaft Position Camshaft Position Correlation (Bank 1,Powertrain,OBD-II Standard,;
P0018,Crankshaft Position Camshaft Position Correlation (Bank 2,Powertrain,OBD-II Standard,;
P0019,Crankshaft Position Camshaft Position Correla tion (Bank 2,Powertrain,OBD-II Standard,;
P0020,A Camshaft Position Actuator Circuit (Bank 2),Powertrain,OBD-II Standard,;
P0021,A Camshaft Position -Timing Over -Advanced or System,Powertrain,OBD-II Standard,;
P0022,A Camshaft Position -Timing O ver -Retarded (Bank 2),Powertrain,OBD-II Standard,;
P0023,B Camshaft Position -Actuator Circuit (Bank 2),Powertrain,OBD-II Standard,;
P0024,B Camshaft Position -Timing Over -Advanced or System,Powertrain,OBD-II Standard,;
P0025,B Camshaft Position -Timing O ver -Retarded (Bank 2),Powertrain,OBD-II Standard,;
P0026,Intake Valve Control Solenoid Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0027,Exhaust Valve Control Solenoid Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0028,Intake Valve Control Solenoid Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0029,Exhaust Valve Control Solenoid Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0030,HO2S Heater Control Circuit (Bank 1 Sensor 1),Powertrain,OBD-II Standard,;
P0031,HO2S Heater Control Circuit Low (Bank 1 Sensor 1),Powertrain,OBD-II Standard,;
P0032,HO2S Heater Control Circuit High (Bank 1 Sensor 1),Powertrain,OBD-II Standard,;
P0033,Turbo Charger Bypass Valve Control Circuit,Powertrain,OBD-II Standard,;
